Model,Description,PSC location
TS_rigid_sphere.mph,Rigid sphere scatterer in water,/ocean/projects/bio240005p/vchhaya/COMSOL_models/spherical_benchmarks/TS_rigid_sphere.mph
TS_soft_sphere.mph,Pressure release sphere scatterer in water,/ocean/projects/bio240005p/vchhaya/COMSOL_models/spherical_benchmarks/TS_soft_sphere.mph
TS_air_sphere.mph,Air sphere (bubble) scatterer in water,/ocean/projects/bio240005p/vchhaya/COMSOL_models/spherical_benchmarks/TS_air_sphere.mph
TS_elastic_sphere.mph,Solid bone sphere scatterer in water,/ocean/projects/bio240005p/vchhaya/COMSOL_models/spherical_benchmarks/TS_elastic_sphere.mph
TS_elastic_shell.mph,Spherical bone shell with an air cavity in water,/ocean/projects/bio240005p/vchhaya/COMSOL_models/spherical_benchmarks/TS_elastic_shell.mph
TS_rockfish.mph,Rockfish body and swim bladder in water; body assigned soft tissue properties,/ocean/projects/bio240005p/vchhaya/COMSOL_models/fish_swimbladders/TS_rockfish.mph
TS_rockfish_bone.mph,"Rockfish body and swim bladder with voxel-based bone properties assigned using bone_voxel_trimmed_translated.csv",/ocean/projects/bio240005p/vchhaya/COMSOL_models/fish_swimbladders/TS_rockfish_bone.mph
TS_rockfish_bone_monostatic.mph,Rockfish model with an incident-angle sweep for measuring the monostatic scattering pattern,/ocean/projects/bio240005p/vchhaya/COMSOL_models/fish_swimbladders/TS_rockfish_bone_monostatic.mph
TS_midshipman.mph,"Plainfin midshipman swim bladder, without the body, in water",/ocean/projects/bio240005p/vchhaya/COMSOL_models/fish_swimbladders/TS_midshipman.mph
TS_midshipman_monostatic.mph,Midshipman swim bladder model with an incident-angle sweep for measuring the monostatic scattering pattern,/ocean/projects/bio240005p/vchhaya/COMSOL_models/fish_swimbladders/TS_midshipman_monostatic.mph
